Cooling Curve : CIE:[Fe/H] = -2.0											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.00	0.0022	1.000	1.064	-26.03	-23.40	-11.66	11.72	1.483	2.115	8.372	1.984
4.05	0.0141	1.000	1.064	-24.68	-22.86	-11.60	11.22	1.682	2.115	8.917	1.962
4.10	0.0700	1.000	1.064	-23.53	-22.40	-11.53	10.82	1.985	2.115	9.687	1.865
4.15	0.2528	1.000	1.064	-22.63	-22.05	-11.41	10.53	2.586	2.115	11.06	1.607
4.20	0.5668	1.000	1.064	-22.12	-21.90	-11.27	10.42	3.594	2.116	13.03	1.297
4.25	0.8163	1.000	1.064	-21.98	-21.92	-11.16	10.48	4.649	2.116	14.82	1.125
4.30	0.9310	1.000	1.064	-22.02	-22.02	-11.08	10.63	5.535	2.116	16.17	1.061
4.35	0.9755	1.000	1.064	-22.12	-22.14	-11.02	10.80	6.349	2.116	17.32	1.038
4.40	0.9980	1.000	1.064	-22.23	-22.25	-10.97	10.97	7.202	2.116	18.45	1.026
4.45	1.020	1.000	1.064	-22.31	-22.34	-10.91	11.11	8.169	2.116	19.65	1.015
4.50	1.042	1.000	1.064	-22.37	-22.42	-10.86	11.23	9.262	2.116	20.92	1.005
4.55	1.055	1.000	1.064	-22.44	-22.49	-10.81	11.36	10.45	2.116	22.23	0.999
4.60	1.060	1.000	1.064	-22.49	-22.54	-10.76	11.46	11.76	2.116	23.57	0.996
4.65	1.062	1.000	1.064	-22.51	-22.56	-10.71	11.53	13.21	2.116	24.98	0.995
4.70	1.064	1.000	1.064	-22.49	-22.54	-10.66	11.56	14.83	2.116	26.47	0.995
4.75	1.065	1.000	1.064	-22.40	-22.46	-10.61	11.52	16.65	2.116	28.05	0.994
4.80	1.070	1.000	1.064	-22.27	-22.32	-10.55	11.44	18.73	2.116	29.75	0.991
4.85	1.082	1.000	1.064	-22.13	-22.19	-10.50	11.36	21.12	2.116	31.59	0.986
4.90	1.099	1.000	1.064	-22.05	-22.12	-10.45	11.33	23.89	2.116	33.60	0.978
4.95	1.113	1.000	1.064	-22.05	-22.12	-10.40	11.39	26.98	2.116	35.70	0.972
5.00	1.121	1.000	1.064	-22.10	-22.17	-10.34	11.49	30.38	2.116	37.89	0.969
