Cooling Curve : CIE:[Fe/H] = -1.5											

log(T)	ne	nH	nt	log(lambda net)	log(lambda norm)	log(U)	log(taucool)	P12	rho24	Ci	mubar

4.00	0.0022	1.000	1.064	-26.00	-23.38	-11.66	11.69	1.483	2.118	8.368	1.986
4.05	0.0141	1.000	1.064	-24.66	-22.84	-11.60	11.20	1.682	2.118	8.913	1.964
4.10	0.0702	1.000	1.064	-23.52	-22.39	-11.53	10.81	1.986	2.118	9.683	1.867
4.15	0.2525	1.000	1.064	-22.62	-22.05	-11.41	10.52	2.586	2.118	11.05	1.609
4.20	0.5666	1.000	1.064	-22.11	-21.89	-11.27	10.41	3.594	2.118	13.03	1.299
4.25	0.8163	1.000	1.064	-21.97	-21.91	-11.16	10.47	4.650	2.118	14.82	1.127
4.30	0.9311	1.000	1.064	-22.01	-22.01	-11.08	10.62	5.535	2.118	16.16	1.062
4.35	0.9756	1.000	1.064	-22.11	-22.12	-11.02	10.79	6.349	2.118	17.31	1.039
4.40	0.9981	1.000	1.064	-22.20	-22.23	-10.97	10.94	7.203	2.119	18.44	1.027
4.45	1.021	1.000	1.064	-22.27	-22.30	-10.91	11.07	8.170	2.119	19.64	1.016
4.50	1.042	1.000	1.064	-22.31	-22.35	-10.86	11.17	9.263	2.119	20.91	1.006
4.55	1.055	1.000	1.064	-22.33	-22.38	-10.81	11.25	10.46	2.119	22.22	1.000
4.60	1.060	1.000	1.064	-22.34	-22.39	-10.76	11.31	11.76	2.119	23.56	0.997
4.65	1.063	1.000	1.064	-22.32	-22.37	-10.71	11.34	13.21	2.119	24.97	0.996
4.70	1.064	1.000	1.064	-22.26	-22.31	-10.66	11.33	14.83	2.119	26.46	0.996
4.75	1.066	1.000	1.064	-22.17	-22.23	-10.61	11.29	16.65	2.119	28.04	0.995
4.80	1.070	1.000	1.064	-22.06	-22.12	-10.55	11.23	18.73	2.119	29.73	0.992
4.85	1.082	1.000	1.064	-21.95	-22.01	-10.50	11.18	21.13	2.119	31.58	0.987
4.90	1.099	1.000	1.064	-21.88	-21.95	-10.45	11.16	23.89	2.119	33.58	0.979
4.95	1.113	1.000	1.064	-21.86	-21.94	-10.40	11.20	26.98	2.119	35.69	0.973
5.00	1.121	1.000	1.064	-21.88	-21.96	-10.34	11.27	30.39	2.119	37.87	0.970
5.05	1.125	1.000	1.064	-21.90	-21.98	-10.29	11.34	34.15	2.119	40.15	0.968
5.10	1.127	1.000	1.064	-21.91	-21.99	-10.24	11.41	38.35	2.119	42.55	0.967
5.15	1.128	1.000	1.064	-21.90	-21.98	-10.19	11.45	43.05	2.119	45.08	0.967
5.20	1.128	1.000	1.064	-21.88	-21.96	-10.14	11.48	48.31	2.119	47.75	0.967
5.25	1.128	1.000	1.064	-21.86	-21.94	-10.09	11.51	54.21	2.119	50.58	0.966
5.30	1.128	1.000	1.064	-21.85	-21.93	-10.04	11.55	60.83	2.119	53.58	0.966
5.35	1.128	1.000	1.064	-21.84	-21.92	-9.993	11.59	68.25	2.119	56.76	0.966
5.40	1.128	1.000	1.064	-21.87	-21.95	-9.943	11.67	76.58	2.119	60.12	0.966
5.45	1.128	1.000	1.064	-22.00	-22.08	-9.893	11.85	85.93	2.119	63.69	0.966
5.50	1.129	1.000	1.064	-22.21	-22.29	-9.843	12.11	96.42	2.119	67.46	0.966
5.55	1.129	1.000	1.064	-22.39	-22.47	-9.793	12.34	108.2	2.119	71.46	0.966
5.60	1.129	1.000	1.064	-22.49	-22.57	-9.743	12.49	121.4	2.119	75.69	0.966
5.65	1.129	1.000	1.064	-22.54	-22.62	-9.693	12.59	136.2	2.119	80.18	0.966
5.70	1.129	1.000	1.064	-22.55	-22.63	-9.643	12.65	152.8	2.119	84.93	0.966
5.75	1.129	1.000	1.064	-22.56	-22.64	-9.593	12.71	171.5	2.119	89.96	0.966
5.80	1.129	1.000	1.064	-22.62	-22.70	-9.543	12.82	192.4	2.119	95.29	0.966
5.85	1.129	1.000	1.064	-22.73	-22.81	-9.493	12.98	215.9	2.119	100.9	0.966
5.90	1.129	1.000	1.064	-22.82	-22.90	-9.443	13.12	242.2	2.119	106.9	0.966
5.95	1.129	1.000	1.064	-22.86	-22.94	-9.393	13.21	271.8	2.119	113.3	0.966
6.00	1.129	1.000	1.064	-22.89	-22.97	-9.343	13.29	304.9	2.119	120.0	0.966
6.05	1.129	1.000	1.064	-22.92	-23.00	-9.293	13.37	342.1	2.119	127.1	0.966
6.10	1.129	1.000	1.064	-22.93	-23.01	-9.243	13.43	383.9	2.119	134.6	0.966
6.15	1.129	1.000	1.064	-22.93	-23.00	-9.193	13.48	430.7	2.119	142.6	0.966
6.20	1.129	1.000	1.064	-22.92	-23.00	-9.143	13.52	483.3	2.119	151.0	0.966
6.25	1.129	1.000	1.064	-22.93	-23.01	-9.093	13.58	542.2	2.119	160.0	0.966
6.30	1.129	1.000	1.064	-22.97	-23.04	-9.043	13.67	608.4	2.119	169.5	0.966
6.35	1.129	1.000	1.064	-23.01	-23.09	-8.993	13.76	682.7	2.119	179.5	0.966
6.40	1.129	1.000	1.064	-23.04	-23.12	-8.943	13.84	766.0	2.119	190.1	0.966
6.45	1.129	1.000	1.064	-23.06	-23.14	-8.893	13.91	859.4	2.119	201.4	0.966
6.50	1.129	1.000	1.064	-23.07	-23.15	-8.843	13.97	964.3	2.119	213.3	0.966
6.55	1.129	1.000	1.064	-23.07	-23.15	-8.793	14.02	1082.0	2.119	226.0	0.966
6.60	1.129	1.000	1.064	-23.07	-23.15	-8.743	14.07	1214.0	2.119	239.4	0.966
6.65	1.129	1.000	1.064	-23.07	-23.15	-8.693	14.12	1362.2	2.119	253.6	0.966
6.70	1.129	1.000	1.064	-23.07	-23.15	-8.643	14.17	1528.4	2.119	268.6	0.966
6.75	1.129	1.000	1.064	-23.06	-23.14	-8.593	14.21	1714.8	2.119	284.5	0.966
6.80	1.129	1.000	1.064	-23.05	-23.13	-8.543	14.25	1924.1	2.119	301.4	0.966
6.85	1.129	1.000	1.064	-23.04	-23.12	-8.493	14.29	2158.9	2.119	319.2	0.966
6.90	1.129	1.000	1.064	-23.02	-23.10	-8.443	14.32	2422.3	2.119	338.1	0.966
6.95	1.129	1.000	1.064	-23.01	-23.09	-8.393	14.36	2717.9	2.119	358.2	0.966
7.00	1.129	1.000	1.064	-23.00	-23.08	-8.343	14.40	3049.5	2.119	379.4	0.966
7.05	1.129	1.000	1.064	-22.98	-23.06	-8.293	14.43	3421.6	2.119	401.9	0.966
7.10	1.129	1.000	1.064	-22.97	-23.05	-8.243	14.47	3839.1	2.119	425.7	0.966
7.15	1.129	1.000	1.064	-22.96	-23.04	-8.193	14.51	4307.6	2.119	450.9	0.966
7.20	1.129	1.000	1.064	-22.94	-23.02	-8.143	14.54	4833.2	2.119	477.6	0.966
7.25	1.129	1.000	1.064	-22.93	-23.00	-8.093	14.58	5422.9	2.119	505.9	0.966
7.30	1.129	1.000	1.064	-22.91	-22.99	-8.043	14.61	6084.6	2.119	535.9	0.966
7.35	1.129	1.000	1.064	-22.89	-22.97	-7.993	14.64	6827.1	2.119	567.7	0.966
7.40	1.129	1.000	1.064	-22.87	-22.95	-7.943	14.67	7660.1	2.119	601.3	0.966
7.45	1.129	1.000	1.064	-22.85	-22.93	-7.893	14.70	8594.8	2.119	636.9	0.966
7.50	1.129	1.000	1.064	-22.83	-22.91	-7.843	14.73	9643.5	2.119	674.7	0.966
7.55	1.129	1.000	1.064	-22.81	-22.89	-7.793	14.76	10820.2	2.119	714.6	0.966
7.60	1.129	1.000	1.064	-22.79	-22.87	-7.743	14.79	12140.4	2.119	757.0	0.966
7.65	1.129	1.000	1.064	-22.77	-22.85	-7.693	14.82	13621.8	2.119	801.8	0.966
7.70	1.129	1.000	1.064	-22.75	-22.83	-7.643	14.85	15283.9	2.119	849.4	0.966
7.75	1.129	1.000	1.064	-22.73	-22.81	-7.593	14.88	17148.8	2.119	899.7	0.966
7.80	1.129	1.000	1.064	-22.70	-22.78	-7.543	14.90	19241.3	2.119	953.0	0.966
7.85	1.129	1.000	1.064	-22.68	-22.76	-7.493	14.93	21589.1	2.119	1009.5	0.966
7.90	1.129	1.000	1.064	-22.66	-22.74	-7.443	14.96	24223.4	2.119	1069.3	0.966
7.95	1.129	1.000	1.064	-22.64	-22.72	-7.393	14.99	27179.1	2.119	1132.6	0.966
8.00	1.129	1.000	1.064	-22.62	-22.70	-7.343	15.02	30495.4	2.119	1199.7	0.966
8.05	1.129	1.000	1.064	-22.59	-22.67	-7.293	15.04	34216.4	2.119	1270.8	0.966
